trying PPS source "/dev/pps0"
found PPS source "/dev/pps0"
timestamp: 1354636192, sequence: 104135, offset:  484143291
timestamp: 1354636193, sequence: 104136, offset:  484136403
timestamp: 1354636194, sequence: 104137, offset:  484130515
timestamp: 1354636195, sequence: 104138, offset:  484128627
timestamp: 1354636196, sequence: 104139, offset:  484117740
timestamp: 1354636197, sequence: 104140, offset:  484111853
timestamp: 1354636198, sequence: 104141, offset:  484104966
timestamp: 1354636199, sequence: 104142, offset:  484098078
timestamp: 1354636200, sequence: 104143, offset:  484092192
timestamp: 1354636201, sequence: 104144, offset:  484085304
timestamp: 1354636202, sequence: 104145, offset:  484079419
timestamp: 1354636203, sequence: 104146, offset:  484072532
timestamp: 1354636204, sequence: 104147, offset:  484065646
timestamp: 1354636205, sequence: 104148, offset:  484058760
timestamp: 1354636206, sequence: 104149, offset:  484052874
timestamp: 1354636207, sequence: 104150, offset:  484049989
timestamp: 1354636208, sequence: 104151, offset:  484043102
timestamp: 1354636209, sequence: 104152, offset:  484042216
timestamp: 1354636210, sequence: 104153, offset:  484035330
timestamp: 1354636211, sequence: 104154, offset:  484027445
timestamp: 1354636212, sequence: 104155, offset:  484025560
